DO(ppm),pH,Temperature(*C),Salinity(ppt),TDS,Health
3.7,8.5,30,21.8,61,0
6,11.4,30,13.2,281,0
4,8.7,31,17.4,96,0
5,11.9,26,13,202,0
3.5,7.2,31,10.8,74,0
3.8,8.1,26,11.1,252,0
3.7,7.2,31,29.2,71,0
3.8,7.5,24,24.2,89,0
3.8,8,22,22.8,202,0
2.7,6.5,30,13.8,73,0
3.5,8.7,31,24.5,71,0
3.4,6.7,31,24.8,260,0
3.8,8.5,43,20.6,81,0
5.5,12.4,32,10.9,67,0
3.5,6.9,30,17.9,54,0
4,8.3,26,11.4,290,0
4.6,8.3,28,16.2,95,0
5.2,10.3,28,14.4,71,0
4,8.2,20,21.7,224,0
4.9,7.5,31,17.4,83,0
4,7.4,17,10.8,78,0
3.8,7.6,23,21.5,203,0
3.5,6.8,44,13.4,215,0
3.5,7.3,25,15.1,84,0
3.5,8.3,28,18,232,0
4,7.3,42,16.5,88,0
5,11.8,30,15,206,0
3.6,7.3,28,14.7,61,0
3.7,8.4,26,22.2,293,0
4,7,28,11,286,0
3.8,7.9,28,21.8,281,0
3.5,7.1,33,24.9,84,0
3.8,6.9,26,26.9,85,0
3.6,8.5,23,18.9,253,0
3.8,8.2,29,23.4,90,0
3.8,8.5,31,28.5,254,0
4,8.5,32,11.3,244,0
3.5,7.9,31,19,236,0
2.9,6.4,30,22.5,291,0
3.8,7.1,18,11.8,58,0
3.7,7.9,32,22,246,0
2.8,5.6,26,10.1,260,0
3.3,5,29,22.9,242,0
2.7,5.1,31,11.4,97,0
4.5,9.6,28,17.7,59,0
3.7,8.2,29,24.9,50,0
3.6,7.6,19,19.9,67,0
3.9,8.5,26,20.3,77,0
3.6,7.6,19,22.5,74,0
3.5,7.2,28,26.1,59,0
3.9,6.9,32,14,292,0
3.6,7.6,32,31.2,200,0
3.7,8.3,25,15.5,100,0
3.7,7.7,31,12.2,298,0
4,7.9,26,15.3,265,0
58,13.9,32,15.6,62,0
3.7,8.1,34,12.7,264,0
3.7,7.6,42,12.7,203,0
3.6,7.1,43,18.9,276,0
3.6,8.5,37,20,71,0
3.7,7.9,18,17.9,75,0
3.8,7.4,43,24,92,0
4,8,28,33.8,72,0
5.5,10.3,30,23.5,251,0
2.8,6.4,27,24.7,74,0
3.7,6.8,30,28.9,84,0
3.6,7.5,28,13.5,247,0
2.6,5.9,28,20.7,270,0
3.6,8.1,28,10.4,250,0
3.2,6.1,31,20.1,70,0
3.5,6.9,28,18.4,61,0
3.6,7.1,28,11,74,0
3.5,7.3,32,26.7,64,0
3.9,8.4,19,11,201,0
3.5,7.3,30,28.2,278,0
3.7,7.2,32,34.4,280,0
5.9,8.5,32,18.4,90,0
3.7,8,29,17.3,230,0
3.6,8.5,19,23.4,50,0
4,8.3,31,32.8,227,0
3.4,5.8,26,13.5,201,0
2.5,5.9,30,23.2,54,0
3.5,6.8,27,13.5,274,0
3.7,7,29,33.3,86,0
5.6,12.1,31,11.6,73,0
3.8,8,29,14.6,97,0
4.5,11.9,32,13.4,59,0
3.6,7.3,32,19.9,63,0
5.7,7.4,30,13.1,92,0
4.6,9.9,27,21.3,221,0
3.9,6.8,29,16.6,252,0
3.6,7.2,26,34.7,88,0
3.6,8.5,25,18.1,80,0
5.3,10,27,12.2,50,0
3.6,8.2,29,10.7,60,0
4,7,21,17.2,73,0
4,8.5,16,21.6,240,0
2.5,6.2,31,10.8,58,0
3.6,8.4,20,15.8,226,0
3.6,7.2,15,19.8,99,0
2.6,5.8,30,10,74,0
3.8,7.2,31,23.9,250,0
4.6,8.4,32,24.2,89,0
3,5.5,26,24.4,211,0
3.3,5.7,31,18.6,279,0
3.5,7.7,31,12.5,98,0
3.6,7.6,29,20.3,239,0
3.6,7.5,16,11.3,55,0
3.7,8,20,14.9,221,0
4,7.9,41,22.6,223,0
4,8.1,37,13.2,75,0
3.8,7.6,15,20.3,61,0
3.6,8.2,43,11.5,59,0
3.8,8.6,31,22.4,68,0
4,7.1,32,23,57,0
5.6,7.9,31,11.9,92,0
3.5,6.8,32,21.2,83,0
3.5,8.5,29,14.9,280,0
3.8,8.1,28,23.9,226,0
4.8,11.8,31,24,250,0
3.6,7.8,28,16.2,210,0
3.7,7.1,33,17.2,68,0
4,7.1,29,28.7,256,0
3.7,7.9,21,24.3,249,0
3.5,6.9,32,20.7,54,0
3.5,7.1,32,23.2,60,0
3.4,5.7,32,21.9,54,0
3.7,8.5,21,20.6,52,0
3.6,8.4,30,28.2,258,0
4.8,10.4,26,24.7,58,0
4,8.7,23,18.9,253,0
3.7,7.7,25,24.8,100,0
3.9,8.1,15,20,100,0
2.7,5.2,27,13.9,86,0
3.9,6.9,27,13.2,249,0
3.5,7.7,31,33.3,266,0
3.6,7.3,27,32.3,85,0
2.9,6.6,32,15,300,0
3.6,7.5,45,24.8,76,0
