DO(ppm),pH,Temperature(*C),Salinity(ppt),TDS,Health
3.7,7.3,29,22.9,232,0
5.4,10.5,30,20.3,65,0
3.6,7.5,26,19.7,263,0
5.8,10,30,12.8,81,0
3.6,7.1,31,12.3,57,0
3.5,8,26,17.1,83,0
3.7,7.3,26,30.2,77,0
3.8,7.6,20,20.1,72,0
3.6,6.9,17,12.5,81,0
2.5,6.2,27,11.4,200,0
3.7,7.7,32,16.5,83,0
2.7,6.6,32,22.7,70,0
3.8,7.5,42,11.2,89,0
5.6,12,32,13.4,94,0
3.8,8.6,29,14.9,247,0
3.6,8.5,29,24.1,100,0
5.3,11.3,32,11.6,54,0
5.3,10,29,20.4,76,0
3.8,7.3,23,22.1,230,0
4.2,10.6,27,18.5,66,0
3.8,8.4,20,19.7,53,0
3.6,8,15,17.9,254,0
3.5,8,42,11.2,254,0
3.9,7,17,21.8,292,0
3.6,6.8,30,15.1,299,0
4,7.2,42,14.7,93,0
5.3,7.2,31,10.5,90,0
3.8,7.2,30,18,227,0
3.6,6.9,26,15.8,241,0
4,8.6,31,19.5,89,0
3.9,8,27,12.3,293,0
3.7,7,34,25,282,0
3.6,7.4,27,32.2,298,0
3.9,7.7,19,24.3,82,0
3.5,7.5,26,18.8,255,0
3.8,7.2,31,28.7,91,0
4,7,27,16.4,77,0
4,8.4,27,18.3,57,0
2.7,6.7,31,24.9,57,0
4,7.5,21,22,265,0
3.8,7.5,31,20.7,259,0
3.4,5.5,30,20,80,0
2.9,5.4,29,15.6,289,0
2.8,5.8,32,19.9,78,0
4.6,11.9,30,11.6,272,0
4,7,29,12.6,71,0
3.6,7.2,19,10.5,208,0
4,7.9,30,11.6,87,0
3.7,7,23,20,233,0
3.5,7.2,26,27,90,0
3.7,7.8,28,21.5,248,0
4,6.8,29,27.6,60,0
4,8.7,25,24.1,99,0
3.9,8.6,31,12.4,67,0
3.7,8.1,31,10.4,206,0
54,9.3,28,20.2,200,0
3.9,6.9,45,18.2,298,0
4,7.7,38,18.5,203,0
3.5,8.3,43,17,208,0
3.5,6.9,44,17.4,284,0
3.6,7.4,25,18.2,71,0
3.9,7.3,42,19.9,284,0
3.7,7.6,30,34.7,234,0
4.8,9,27,14.6,82,0
3.4,5.1,31,14.6,67,0
4,8.4,27,31.7,94,0
3.8,8.6,28,10.2,202,0
2.6,5.8,32,16.8,226,0
3.7,8.1,26,24.1,282,0
2.9,5.3,32,10.4,299,0
3.9,6.9,32,16.7,83,0
3.7,8,30,14.9,297,0
3.9,8.2,29,29.5,241,0
3.7,8,16,23,294,0
3.7,8.6,31,30.6,291,0
3.6,7.2,29,32.1,245,0
5.2,13.1,27,12,215,0
4,8.7,29,12.1,86,0
3.5,6.9,20,15.7,65,0
3.8,7.1,29,26.1,87,0
2.9,6.3,26,25,283,0
2.9,6.5,26,12.5,284,0
3.8,7.5,26,20.4,216,0
3.8,7.6,30,35,94,0
4.2,8.3,27,11.1,237,0
4,8.6,32,24.4,223,0
4.5,13.6,29,10.1,220,0
3.9,7,28,21.5,81,0
4.3,12.7,32,24.6,274,0
5.3,8.9,26,18.8,69,0
3.7,6.9,28,19.8,273,0
4,6.9,26,26.4,219,0
3.6,7,23,16.1,68,0
5,13.7,30,16.4,97,0
4,8.7,28,23.3,235,0
3.8,7.3,25,24.1,57,0
3.9,8,16,11.6,216,0
2.9,6.1,31,22.5,239,0
3.5,7.6,23,20,255,0
3.7,6.9,21,23,83,0
3.2,6.7,29,16.1,90,0
3.9,7.7,26,23.9,65,0
5.6,7.6,26,14.6,76,0
3.2,5.7,32,24,284,0
2.6,5.8,27,13.4,74,0
4,7.8,26,22.1,268,0
4,7.7,26,10,68,0
3.9,7.6,25,12.1,299,0
3.8,7.9,22,14.6,249,0
3.8,7.8,33,21.7,65,0
4,7,44,13.2,61,0
3.8,7.1,18,22,89,0
3.5,8,34,15.7,80,0
3.7,7.3,32,21.6,93,0
4,7.7,28,20,58,0
5.5,7.2,27,22.1,94,0
3.6,7,26,19,246,0
3.8,7.9,29,18.7,74,0
3.8,8.4,27,19.7,92,0
5.6,8.5,32,16.7,232,0
3.9,6.8,28,10.7,59,0
3.5,7.1,43,11.5,222,0
3.7,7.2,27,29.8,50,0
3.7,7.1,15,21.4,99,0
3.6,8.4,30,14.5,73,0
3.6,7.1,31,15.3,90,0
3.1,5.3,31,12.7,209,0
3.5,7,18,14.7,241,0
3.9,7.7,29,27.3,84,0
5.5,11.4,27,19.5,67,0
3.8,6.8,18,18.9,247,0
4,8.1,15,11.9,259,0
3.6,6.8,20,11.4,246,0
3.4,5.4,28,21.3,59,0
3.5,8.6,29,11.3,89,0
3.7,8.4,30,34.7,91,0
4,7.2,27,27.9,215,0
3.2,5,30,11.7,94,0
4,6.9,39,17.4,70,0
4,7.1,27,14.5,89,0
3,5.1,29,22.5,65,0
5.9,9.5,26,23.1,272,0
4.3,8.8,32,24.5,84,0
3.5,8.1,32,10.2,208,0
4.5,7.2,27,11.3,209,0
3.9,7.1,43,14.8,204,0
3.6,7.9,26,15.5,77,0
5.4,7.7,30,18.3,214,0
3.9,8.4,23,23.9,73,0
5.6,12.6,32,15.6,253,0
3.9,7.1,32,27.3,279,0
2.5,6.2,32,17.2,251,0
4.2,12.8,32,10.1,57,0
5,11.8,28,20.4,237,0
3.3,5.4,26,15.3,217,0
3.5,8.7,33,12.9,54,0
3.5,8.7,19,17.9,203,0
4.6,10,28,24.5,69,0
3.8,6.9,40,13.8,279,0
5,8,28,13.9,265,0
3.5,7.2,19,23.1,254,0
2.5,5.6,26,20.1,99,0
3.6,7.6,32,33,86,0
3.5,7.3,26,15.6,88,0
3.7,8.6,26,30.7,271,0
3.8,7.9,18,16.5,98,0
4.2,9.3,31,17.9,272,0
3.5,8.1,19,14.9,95,0
3.2,5.1,27,10.8,81,0
3.3,5.4,26,11.9,219,0
4.7,9.7,30,20.5,76,0
4.7,13.4,30,10.3,240,0
5.2,11.2,31,21.9,299,0
6,13,27,22.2,285,0
5.3,8.6,30,22.4,200,0
5,7,31,12,266,0
4,7.4,26,13.3,52,0
4,6.8,22,16.3,280,0
4,8.6,26,21.7,66,0
3.6,7.7,32,19.4,74,0
3.9,7.4,29,12.6,240,0
3.9,8.3,15,15.4,60,0
3.7,8.6,30,18.8,81,0
3.5,7.6,39,10,81,0
3.7,8.2,20,21.8,53,0
3.6,7.3,18,10.6,247,0
5.9,11.9,32,18.3,56,0
5.3,12,31,21.7,54,0
4,8.5,26,12.9,209,0
3.8,7.5,29,16.5,207,0
3.8,7.2,34,24.2,82,0
4.2,10.7,31,18.5,246,0
5.9,10.5,28,10.4,248,0
3.8,7.4,26,10.3,295,0
2.6,5,28,23.8,267,0
3.5,7.3,29,31.6,231,0
3.5,7.4,26,16.8,219,0
3.9,7.2,28,29.7,250,0
3.2,5.8,26,23.3,93,0
3.7,8.3,24,20.4,280,0
3.5,7.8,21,12.7,264,0
4,7,36,14.3,65,0
3.4,5.8,31,15.2,227,0
5.6,7.5,30,21.9,269,0
5.7,13.4,31,12.2,83,0
3.8,7.9,31,14.1,217,0
3.5,7.4,17,12.7,96,0
3.7,8.1,28,28.2,77,0
3.8,6.8,30,21.5,220,0
3.8,8.2,36,23,52,0
52,9.2,27,11.8,68,0
3.5,8.3,40,15.3,270,0
3.5,8.5,20,14.4,100,0
3.7,8.1,28,17.8,300,0
5.4,7.6,28,15.5,70,0
3.7,7.2,28,21.6,72,0
3.6,8.1,32,27.1,98,0
3.8,7.3,30,17.9,226,0
3.5,7.5,31,19.9,63,0
5.7,10.4,31,22.5,71,0
5.3,7.9,27,16.7,62,0
3.8,7.3,30,16.6,203,0
3.6,8.6,31,26.8,249,0
3.9,7.5,27,33.8,212,0
3.8,7.4,15,23.9,216,0
4.3,11.6,27,14.1,77,0
3.7,7.5,29,18.8,91,0
3.8,8.7,28,29.7,55,0
3.1,5.3,32,11.5,52,0
4.6,11.8,29,11.1,75,0
3.5,6.8,32,19.6,76,0
4,8.4,44,22.5,222,0
3.7,8,28,25,228,0
5,11.3,27,22.6,210,0
3.5,7.8,25,14.6,54,0
3.8,8.5,32,23,200,0
3.5,6.9,28,11,94,0
3.2,5.9,31,13.1,209,0
3.7,7.5,43,14.4,57,0
6,10.9,28,10.5,205,0
5.1,8.2,30,23.6,207,0
3.8,8.6,29,34.2,77,0
4.2,13.2,28,11.8,202,0
4.5,13.8,30,20.9,50,0
3.8,7.3,18,16.3,227,0
3.8,8,31,28.5,68,0
2.8,5.7,30,24.6,248,0
3.9,8.4,16,21.3,70,0
4.9,10.7,31,24.6,97,0
3.7,6.8,20,24.8,92,0
3.7,7.3,26,11.8,63,0
3.7,8,32,23.8,267,0
4,8.4,45,22.9,72,0
3.5,7.4,27,13.4,244,0
3.9,8.6,28,29.3,272,0
5.4,7.3,30,20.1,93,0
3.9,7.7,15,21.9,294,0
3.8,8.3,29,34.5,300,0
3.5,8.4,41,17.7,262,0
3.8,8.6,31,20.8,299,0
3.6,6.9,31,31.9,86,0
3.7,7.1,17,15.5,275,0
4,6.8,27,14.4,275,0
5,12.3,28,14.8,56,0
4,8.1,24,16.2,281,0
4.4,11.8,27,20.8,295,0
3.5,7.4,41,10.1,204,0
3.5,7.7,36,20.8,75,0
3.2,6.1,29,16.7,70,0
3.6,8.4,22,24.9,57,0
3.6,8.7,26,13.2,67,0
3.5,6.9,28,24.6,56,0
5,7.3,26,19.4,277,0
3.4,5.4,30,20.6,206,0
3.5,7.5,30,16.3,208,0
3.7,8.5,19,16.4,221,0
4.2,11.6,32,16.7,75,0
3.7,8.1,15,15,50,0
3.8,6.8,25,24.5,227,0
3.7,8.1,30,23,286,0
3.6,8.4,27,11.8,64,0
4,7.6,27,21.5,294,0
5.8,7.9,31,21.2,90,0
3.5,8.2,27,15.5,289,0
3.7,8,28,11.1,87,0
3.7,7.7,34,24.3,279,0
3.6,8.7,27,13.8,294,0
3.4,6,27,22.1,211,0
3.8,7.4,32,31,261,0
4,7.9,30,10.4,277,0
3.8,7,28,13,66,0
4,8.2,41,24.9,52,0
3.9,6.9,45,24.5,271,0
5.2,7,29,20.4,243,0
2.6,6.2,29,17.8,53,0
3.9,7.4,27,16.6,53,0
3.6,6.9,44,18.8,235,0
3.7,7.7,29,21.7,51,0
3.4,5.7,26,10.9,267,0
3.5,7.4,28,21.3,241,0
3.5,8.5,30,32.2,53,0
3.8,7.9,19,24,66,0
3.7,8.7,32,24.9,92,0
3.8,7,37,22.4,257,0
3.7,8.5,38,17.6,88,0
3.6,7.1,27,11.1,91,0
3.2,6.3,32,14.8,70,0
3.6,7.2,26,11,203,0
3.4,5.4,29,23.8,286,0
3.9,8.1,32,31.4,215,0
3.4,6.2,27,13.1,52,0
3.7,7.3,45,10.5,233,0
3.8,7.8,28,11.4,300,0
3.7,8.3,16,10.6,62,0
3.9,8.4,30,29.9,71,0
3.6,7.2,30,11.6,92,0
3.6,6.9,42,21.8,55,0
4.5,10.7,29,13.4,215,0
3.6,7.6,29,16.8,282,0
3.8,7.9,19,23.8,287,0
2.5,6.4,28,21,224,0
3.7,7.8,20,23.7,281,0
3.6,7,29,20.9,81,0
3.8,7.1,26,19.4,99,0
3.8,7.5,31,17.8,67,0
3.8,8.7,27,10.9,69,0
4,8.3,30,17.8,218,0
3.7,6.8,39,14.8,241,0
3.2,5.5,26,23.9,88,0
3.9,8,15,12.4,261,0
3.9,8.7,18,12.7,269,0
3.8,8.3,29,13,69,0
3.5,7.9,26,21.3,241,0
4,8.6,32,24.2,69,0
3.7,7.1,21,11,66,0
2.8,6.2,29,15.4,67,0
3.9,6.8,28,22.2,82,0
3.8,8.3,21,17.3,79,0
4.2,12.9,28,20.9,88,0
4,8.3,32,20.5,69,0
2.6,6.1,26,11.4,64,0
3.5,7.9,31,17.9,91,0
3.8,8.5,38,16.2,86,0
3.7,7.5,26,30.1,92,0
4,7.6,24,14,268,0
3.6,7.4,31,15.5,267,0
3.5,7.4,30,13.7,63,0
4,6.9,27,32.6,66,0
3.6,8.1,44,22.3,220,0
3.8,7.1,27,10.1,249,0
2.6,6.7,29,15.3,93,0
2.8,5.2,29,15.5,290,0
4,7.9,28,19.7,296,0
3.6,7.5,16,16.6,286,0
4,7.6,24,23.2,257,0
3.6,7.8,22,17.8,60,0
5,9.5,26,20.5,261,0
2.6,5.8,28,17.3,69,0
3.6,7.7,30,19.8,288,0
3.9,6.8,26,29.4,261,0
3.8,7.1,38,15.3,68,0
3.5,8.2,30,24.9,64,0
3.5,8.1,32,14.9,284,0
3.6,8.4,27,29.1,85,0
3.8,7.8,30,17,263,0
3,6,26,17.6,205,0
3.3,5.5,29,10.1,277,0
3.6,7.3,32,14.7,286,0
2.8,5.8,31,22,98,0
3.5,8.7,28,14,210,0
4.5,10.1,26,15.5,81,0
3.6,8,30,18.3,267,0
4,8.7,32,15.1,64,0
3.9,7.7,36,18.7,55,0
4,7.9,18,22,80,0
3.7,6.8,27,27.4,215,0
3.3,5.6,30,13.8,67,0
3.6,6.8,32,16.5,258,0
5.1,10.9,31,19.8,92,0
4.3,12.5,32,22.3,241,0
4.4,10.7,29,19,214,0
3.7,8,28,19.4,96,0
3.7,6.8,34,23.5,58,0
4,6.8,27,14.8,205,0
4,8.2,17,23.2,264,0
3.6,8.2,30,14.7,272,0
3.6,8.2,20,16.7,227,0
4.9,7.8,27,24.8,241,0
3.7,7.3,17,13.6,291,0
3.7,7.1,29,19.1,242,0
5.6,13.7,29,14.3,85,0
3.5,8,26,23.8,257,0
3.6,7.9,29,22.7,273,0
4,7.5,20,14.7,227,0
3.5,8.7,28,11.5,260,0
5.6,10.7,28,24,77,0
3.5,8.6,26,10.5,223,0
3.6,7.4,30,34,239,0
3.6,7.3,28,29.5,56,0
3.5,8.7,28,31.4,60,0
4,7.2,29,14.2,98,0
4,8.4,32,11.9,67,0
